# id	sire	dam	sex	generation
1273	312	327	2	F3
1282	342	284	2	F3
1283	342	284	1	F3
1293	350	316	2	F3
1310	298	314	2	F3
1313	298	314	1	F3
1314	344	302	1	F3
1315	344	302	2	F3
1319	319	331	1	F3
1320	225	104	2	F3
1328	225	104	1	F3
1332	259	66	2	F3
1333	265	175	1	F3
1337	265	175	2	F3
1342	259	66	1	F3
1365	229	187	1	F3
1367	229	187	2	F3
1377	160	168	2	F3
1379	160	168	1	F3
1380	136	67	2	F3
1381	136	67	1	F3
1387	317	291	1	F3
1390	355	307	2	F3
1391	355	307	1	F3
1401	317	291	2	F3
1411	262	155	2	F3
1413	262	155	1	F3
1417	120	162	1	F3
1419	120	162	2	F3
1422	365	288	2	F3
1435	365	288	1	F3
1462	308	328	1	F3
1463	308	328	2	F3
1466	343	290	2	F3
1467	343	290	1	F3
1477	108	203	1	F3
1479	118	213	1	F3
1481	118	213	2	F3
1485	165	190	1	F3
1486	165	135	2	F3
1501	222	97	1	F3
1510	336	289	2	F3
1521	348	285	1	F3
1525	333	300	1	F3
1526	115	236	1	F3
1530	395	341	1	F3
1532	395	341	1	F3
1539	370	397	1	F3
1540	400	382	2	F3
1541	400	382	2	F3
1550	388	346	2	F3
1561	395	341	1	F3
1563	115	236	2	F3
1566	115	236	1	F3
1569	405	337	2	F3
1575	406	374	1	F3
1577	406	374	2	F3
1585	394	351	1	F3
1586	394	351	2	F3
1588	405	337	1	F3
1594	392	364	2	F3
1597	403	339	2	F3
1604	403	339	1	F3
1609	392	364	1	F3
1612	390	338	2	F3
1619	390	338	1	F3
1623	393	360	2	F3
1626	393	360	2	F3
1629	399	347	1	F3
1638	414	396	1	F3
1644	415	354	2	F3
1645	415	354	2	F3
1655	373	398	1	F3
1664	375	356	2	F3
1668	413	379	1	F3
1672	377	366	1	F3
1677	377	366	2	F3
1685	413	379	2	F3
1688	383	372	1	F3
1696	378	385	2	F3
1699	378	385	1	F3
1708	387	340	2	F3
1721	402	357	1	F3
1729	387	340	1	F3
1734	371	389	2	F3
1738	429	409	2	F3
1747	426	401	1	F3
1750	426	401	2	F3
1754	429	409	1	F3
1762	422	407	2	F3
1766	431	408	2	F3
1775	445	428	2	F3
1778	445	428	1	F3
1782	359	324	2	F3
1789	436	425	2	F3
1791	436	425	1	F3
1799	446	412	2	F3
1800	446	412	1	F3
1817	443	418	2	F3
1819	443	418	1	F3
1825	438	417	1	F3
1826	438	417	2	F3
1831	437	411	2	F3
1834	439	420	1	F3
1839	439	420	2	F3
1848	478	462	1	F3
1855	447	458	2	F3
1857	447	458	1	F3
1862	472	463	1	F3
1868	472	463	2	F3
1876	476	441	1	F3
1884	473	453	2	F3
1885	473	453	1	F3
1893	461	474	1	F3
1894	461	474	2	F3
1899	424	410	1	F3
1917	459	470	1	F3
1919	459	470	2	F3
1927	467	454	2	F3
1943	452	460	2	F3
1949	475	433	1	F3
1959	455	466	2	F3
1961	455	466	1	F3
1970	451	468	2	F3
1973	451	468	1	F3
2215	680	789	2	F4
2287	545	888	1	F4
2291	545	888	2	F4
2380	692	679	2	F4
2391	889	1032	2	F4
2393	889	1032	1	F4
2396	738	572	2	F4
2401	738	572	1	F4
2407	1029	1162	1	F4
2409	1029	1162	2	F4
2519	662	759	2	F4
2527	662	759	1	F4
2536	697	569	1	F4
2538	697	569	2	F4
2548	731	948	1	F4
2549	731	948	1	F4
2551	955	699	2	F4
2561	955	699	1	F4
2566	1011	1094	1	F4
2569	1011	1094	2	F4
2571	1102	733	1	F4
2585	1060	684	1	F4
2593	1140	950	1	F4
2597	1140	950	2	F4
2611	575	1139	1	F4
2613	575	1139	2	F4
2624	578	1090	1	F4
2625	578	1090	2	F4
