eps,mu,Type,power,r
5,3.0,ggnull,460.0,8
5,3.0,gnull,450.0,9-11
5,3.0,gnull0,450.0,9-11
5,3.0,ggnull0,450.0,9-11
4,2.444,hcFull,240.0,1
4,2.444,ggnull,140.0,12
4,2.444,gnull,130.0,13-15
4,2.444,gnull0,130.0,13-15
4,2.444,ggnull0,130.0,13-15
4,2.444,score,90.0,16-17
4,2.444,score0,90.0,16-17
4,2.444,fdr,230.0,2-3
4,2.444,fdr0,230.0,2-3
4,2.444,minP,220.0,4-5
4,2.444,minP0,220.0,4-5
4,2.444,bj,170.0,6-7
4,2.444,bj0,170.0,6-7
4,2.444,ghc,150.0,8-11
4,2.444,hc,150.0,8-11
4,2.444,hc0,150.0,8-11
4,2.444,ghc0,150.0,8-11
4,2.556,hcFull,310.0,1
4,2.556,score,140.0,10-11
4,2.556,score0,140.0,10-11
4,2.556,bj,130.0,12-13
4,2.556,bj0,130.0,12-13
4,2.556,ggnull,110.0,14-17
4,2.556,gnull,110.0,14-17
4,2.556,gnull0,110.0,14-17
4,2.556,ggnull0,110.0,14-17
4,2.556,fdr,290.0,2-3
4,2.556,fdr0,290.0,2-3
4,2.556,minP,280.0,4-5
4,2.556,minP0,280.0,4-5
4,2.556,ghc,150.0,6-9
4,2.556,hc,150.0,6-9
4,2.556,hc0,150.0,6-9
4,2.556,ghc0,150.0,6-9
3,2.444,hc,1.0,1-8
3,2.444,gnull,1.0,1-8
3,2.444,bj,1.0,1-8
3,2.444,fdr,1.0,1-8
3,2.444,minP,1.0,1-8
3,2.444,score,1.0,1-8
3,2.444,ggnull,1.0,1-8
3,2.444,ghc,1.0,1-8
2,2.444,hc,1.0,1-8
2,2.444,gnull,1.0,1-8
2,2.444,bj,1.0,1-8
2,2.444,fdr,1.0,1-8
2,2.444,minP,1.0,1-8
2,2.444,score,1.0,1-8
2,2.444,ggnull,1.0,1-8
2,2.444,ghc,1.0,1-8
6,2.444,hcFull,410.0,1
6,2.444,ghc,250.0,10-13
6,2.444,hc,250.0,10-13
6,2.444,hc0,250.0,10-13
6,2.444,ghc0,250.0,10-13
6,2.444,ggnull,240.0,14-17
6,2.444,gnull,240.0,14-17
6,2.444,gnull0,240.0,14-17
6,2.444,ggnull0,240.0,14-17
6,2.444,minP,380.0,2-5
6,2.444,fdr,380.0,2-5
6,2.444,minP0,380.0,2-5
6,2.444,fdr0,380.0,2-5
6,2.444,score,280.0,6-7
6,2.444,score0,280.0,6-7
6,2.444,bj,270.0,8-9
6,2.444,bj0,270.0,8-9
6,2.556,hcFull,440.0,1
6,2.556,bj,310.0,10-11
6,2.556,bj0,310.0,10-11
6,2.556,score,280.0,12-13
6,2.556,score0,280.0,12-13
6,2.556,gnull,270.0,14-16
6,2.556,gnull0,270.0,14-16
6,2.556,ggnull0,270.0,14-16
6,2.556,ggnull,260.0,17
6,2.556,fdr,400.0,2-3
6,2.556,fdr0,400.0,2-3
6,2.556,minP,390.0,4-5
6,2.556,minP0,390.0,4-5
6,2.556,ghc,320.0,6-9
6,2.556,hc,320.0,6-9
6,2.556,hc0,320.0,6-9
6,2.556,ghc0,320.0,6-9
4,2.667,hcFull,390.0,1
4,2.667,ghc,160.0,12-15
4,2.667,hc,160.0,12-15
4,2.667,hc0,160.0,12-15
4,2.667,ghc0,160.0,12-15
4,2.667,score,120.0,16-17
4,2.667,score0,120.0,16-17
4,2.667,minP,370.0,2-5
4,2.667,fdr,370.0,2-5
4,2.667,minP0,370.0,2-5
4,2.667,fdr0,370.0,2-5
4,2.667,bj,260.0,6-7
4,2.667,bj0,260.0,6-7
4,2.667,ggnull,190.0,8-11
4,2.667,gnull,190.0,8-11
4,2.667,gnull0,190.0,8-11
4,2.667,ggnull0,190.0,8-11
6,2.333,ghc,230.0,1-9
6,2.333,hc,230.0,1-9
6,2.333,hcFull,230.0,1-9
6,2.333,minP,230.0,1-9
6,2.333,fdr,230.0,1-9
6,2.333,minP0,230.0,1-9
6,2.333,hc0,230.0,1-9
6,2.333,ghc0,230.0,1-9
6,2.333,fdr0,230.0,1-9
6,2.333,bj,200.0,10-11
6,2.333,bj0,200.0,10-11
6,2.333,ggnull,170.0,12-14
6,2.333,score,170.0,12-14
6,2.333,score0,170.0,12-14
6,2.333,gnull,160.0,15-17
6,2.333,gnull0,160.0,15-17
6,2.333,ggnull0,160.0,15-17
6,2.667,hcFull,500.0,1
6,2.667,ghc,370.0,12-15
6,2.667,hc,370.0,12-15
6,2.667,hc0,370.0,12-15
6,2.667,ghc0,370.0,12-15
6,2.667,score,290.0,16-17
6,2.667,score0,290.0,16-17
6,2.667,fdr,450.0,2-3
6,2.667,fdr0,450.0,2-3
6,2.667,minP,440.0,4-5
6,2.667,minP0,440.0,4-5
6,2.667,bj,410.0,6-7
6,2.667,bj0,410.0,6-7
6,2.667,ggnull,380.0,8-11
6,2.667,gnull,380.0,8-11
6,2.667,gnull0,380.0,8-11
6,2.667,ggnull0,380.0,8-11
4,2.778,hcFull,420.0,1
4,2.778,ggnull,230.0,11
4,2.778,score,210.0,12-13
4,2.778,score0,210.0,12-13
4,2.778,ghc,190.0,14-17
4,2.778,hc,190.0,14-17
4,2.778,hc0,190.0,14-17
4,2.778,ghc0,190.0,14-17
4,2.778,minP,390.0,2-5
4,2.778,fdr,390.0,2-5
4,2.778,minP0,390.0,2-5
4,2.778,fdr0,390.0,2-5
4,2.778,bj,310.0,6-7
4,2.778,bj0,310.0,6-7
4,2.778,gnull,240.0,8-10
4,2.778,gnull0,240.0,8-10
4,2.778,ggnull0,240.0,8-10
6,2.222,score,200.0,1-2
6,2.222,score0,200.0,1-2
6,2.222,ggnull,130.0,14
6,2.222,gnull,120.0,15-17
6,2.222,gnull0,120.0,15-17
6,2.222,ggnull0,120.0,15-17
6,2.222,hcFull,160.0,3-5
6,2.222,bj,160.0,3-5
6,2.222,bj0,160.0,3-5
6,2.222,ghc,140.0,6-13
6,2.222,hc,140.0,6-13
6,2.222,minP,140.0,6-13
6,2.222,fdr,140.0,6-13
6,2.222,minP0,140.0,6-13
6,2.222,hc0,140.0,6-13
6,2.222,ghc0,140.0,6-13
6,2.222,fdr0,140.0,6-13
6,2.778,hcFull,620.0,1
6,2.778,gnull,380.0,12-14
6,2.778,gnull0,380.0,12-14
6,2.778,ggnull0,380.0,12-14
6,2.778,ggnull,370.0,15
6,2.778,score,330.0,16-17
6,2.778,score0,330.0,16-17
6,2.778,fdr,560.0,2-3
6,2.778,fdr0,560.0,2-3
6,2.778,minP,550.0,4-5
6,2.778,minP0,550.0,4-5
6,2.778,bj,520.0,6-7
6,2.778,bj0,520.0,6-7
6,2.778,ghc,420.0,8-11
6,2.778,hc,420.0,8-11
6,2.778,hc0,420.0,8-11
6,2.778,ghc0,420.0,8-11
4,2.889,hcFull,480.0,1
4,2.889,ghc,200.0,12-15
4,2.889,hc,200.0,12-15
4,2.889,hc0,200.0,12-15
4,2.889,ghc0,200.0,12-15
4,2.889,score,190.0,16-17
4,2.889,score0,190.0,16-17
4,2.889,fdr,450.0,2-3
4,2.889,fdr0,450.0,2-3
4,2.889,minP,430.0,4-5
4,2.889,minP0,430.0,4-5
4,2.889,bj,340.0,6-7
4,2.889,bj0,340.0,6-7
4,2.889,ggnull,250.0,8-11
4,2.889,gnull,250.0,8-11
4,2.889,gnull0,250.0,8-11
4,2.889,ggnull0,250.0,8-11
6,2.111,hcFull,210.0,1
6,2.111,fdr,140.0,14-15
6,2.111,fdr0,140.0,14-15
6,2.111,minP,120.0,16-17
6,2.111,minP0,120.0,16-17
6,2.111,bj,190.0,2-3
6,2.111,bj0,190.0,2-3
6,2.111,score,170.0,4-5
6,2.111,score0,170.0,4-5
6,2.111,ggnull,160.0,6
6,2.111,ghc,150.0,7-13
6,2.111,hc,150.0,7-13
6,2.111,gnull,150.0,7-13
6,2.111,hc0,150.0,7-13
6,2.111,ghc0,150.0,7-13
6,2.111,gnull0,150.0,7-13
6,2.111,ggnull0,150.0,7-13
6,2.889,hcFull,650.0,1
6,2.889,ggnull,500.0,11
6,2.889,ghc,380.0,12-15
6,2.889,hc,380.0,12-15
6,2.889,hc0,380.0,12-15
6,2.889,ghc0,380.0,12-15
6,2.889,score,310.0,16-17
6,2.889,score0,310.0,16-17
6,2.889,fdr,600.0,2-3
6,2.889,fdr0,600.0,2-3
6,2.889,minP,580.0,4-5
6,2.889,minP0,580.0,4-5
6,2.889,bj,570.0,6-7
6,2.889,bj0,570.0,6-7
6,2.889,gnull,530.0,8-10
6,2.889,gnull0,530.0,8-10
6,2.889,ggnull0,530.0,8-10
4,3.0,hcFull,590.0,1
4,3.0,ghc,250.0,12-15
4,3.0,hc,250.0,12-15
4,3.0,hc0,250.0,12-15
4,3.0,ghc0,250.0,12-15
4,3.0,score,220.0,16-17
4,3.0,score0,220.0,16-17
4,3.0,minP,580.0,2-5
4,3.0,fdr,580.0,2-5
4,3.0,minP0,580.0,2-5
4,3.0,fdr0,580.0,2-5
4,3.0,bj,440.0,6-7
4,3.0,bj0,440.0,6-7
4,3.0,ggnull,370.0,8
4,3.0,gnull,360.0,9-11
4,3.0,gnull0,360.0,9-11
4,3.0,ggnull0,360.0,9-11
6,2.0,ghc,190.0,1-7
6,2.0,hc,190.0,1-7
6,2.0,hcFull,190.0,1-7
6,2.0,score,190.0,1-7
6,2.0,hc0,190.0,1-7
6,2.0,ghc0,190.0,1-7
6,2.0,score0,190.0,1-7
6,2.0,bj,130.0,12-13
6,2.0,bj0,130.0,12-13
6,2.0,gnull,110.0,14-16
6,2.0,gnull0,110.0,14-16
6,2.0,ggnull0,110.0,14-16
6,2.0,ggnull,100.0,17
6,2.0,minP,160.0,8-11
6,2.0,fdr,160.0,8-11
6,2.0,minP0,160.0,8-11
6,2.0,fdr0,160.0,8-11
6,3.0,hcFull,770.0,1
6,3.0,ggnull,610.0,11
6,3.0,hc,450.0,12-14
6,3.0,hc0,450.0,12-14
6,3.0,ghc0,450.0,12-14
6,3.0,ghc,440.0,15
6,3.0,score,410.0,16-17
6,3.0,score0,410.0,16-17
6,3.0,minP,710.0,2-5
6,3.0,fdr,710.0,2-5
6,3.0,minP0,710.0,2-5
6,3.0,fdr0,710.0,2-5
6,3.0,bj,660.0,6-7
6,3.0,bj0,660.0,6-7
6,3.0,gnull,630.0,8-10
6,3.0,gnull0,630.0,8-10
6,3.0,ggnull0,630.0,8-10
3,2.556,hcFull,280.0,1
3,2.556,ggnull,120.0,10-13
3,2.556,gnull,120.0,10-13
3,2.556,gnull0,120.0,10-13
3,2.556,ggnull0,120.0,10-13
3,2.556,ghc,100.0,14-17
3,2.556,hc,100.0,14-17
3,2.556,hc0,100.0,14-17
3,2.556,ghc0,100.0,14-17
3,2.556,fdr,270.0,2-3
3,2.556,fdr0,270.0,2-3
3,2.556,minP,250.0,4-5
3,2.556,minP0,250.0,4-5
3,2.556,score,170.0,6-7
3,2.556,score0,170.0,6-7
3,2.556,bj,150.0,8-9
3,2.556,bj0,150.0,8-9
7,2.444,hcFull,420.0,1
7,2.444,gnull,220.0,10-12
7,2.444,gnull0,220.0,10-12
7,2.444,ggnull0,220.0,10-12
7,2.444,ggnull,200.0,13-17
7,2.444,ghc,200.0,13-17
7,2.444,hc,200.0,13-17
7,2.444,hc0,200.0,13-17
7,2.444,ghc0,200.0,13-17
7,2.444,fdr,410.0,2-3
7,2.444,fdr0,410.0,2-3
7,2.444,minP,400.0,4-5
7,2.444,minP0,400.0,4-5
7,2.444,score,330.0,6-7
7,2.444,score0,330.0,6-7
7,2.444,bj,300.0,8-9
7,2.444,bj0,300.0,8-9
7,2.556,bj,550.0,1-2
7,2.556,bj0,550.0,1-2
7,2.556,minP,450.0,10-11
7,2.556,minP0,450.0,10-11
7,2.556,score,400.0,12-13
7,2.556,score0,400.0,12-13
7,2.556,ghc,380.0,14-17
7,2.556,hc,380.0,14-17
7,2.556,hc0,380.0,14-17
7,2.556,ghc0,380.0,14-17
7,2.556,hcFull,530.0,3
7,2.556,gnull,500.0,4-6
7,2.556,gnull0,500.0,4-6
7,2.556,ggnull0,500.0,4-6
7,2.556,ggnull,480.0,7
