eps,mu,Type,power,r
20,2.04,gnull,251.1,1
20,2.04,ggnull,250.2,2
20,2.04,ghc,247.4,3-4
20,2.04,hc,247.4,3-4
20,2.04,score,220.9,5
20,2.04,fdr,207.6,6
20,2.04,minP,205.4,7
20,2.04,bj,203.7,8
20,2.76,gnull,793.9000000000001,1
20,2.76,ggnull,791.9000000000001,2
20,2.76,hc,768.3,3
20,2.76,ghc,768.2,4
20,2.76,bj,753.7,5
20,2.76,fdr,677.4,6
20,2.76,minP,655.3,7
20,2.76,score,467.5,8
20,1.8,gnull,167.3,1
20,1.8,ggnull,166.3,2
20,1.8,ghc,165.7,3-4
20,1.8,hc,165.7,3-4
20,1.8,score,162.20000000000002,5
20,1.8,fdr,129.0,6
20,1.8,minP,127.5,7
20,1.8,bj,125.0,8
20,3.0,ggnull,933.3000000000001,1
20,3.0,gnull,932.9,2
20,3.0,ghc,917.5,3-4
20,3.0,hc,917.5,3-4
20,3.0,bj,915.1,5
20,3.0,fdr,844.9,6
20,3.0,minP,821.2,7
20,3.0,score,587.0,8
